marca,estabelecimento
mcdonalds,MCDONALDS FUENCARRAL GLOR
mcdonalds,MC DONALDS EMB           
mcdonalds,MC DONALDS  SCZ          
mcdonalds,MC DONALDS PAC           
mcdonalds,MC DONALDS  RIB          
mcdonalds,MC DONALDS CDD           
mcdonalds,MC DONALDS IRD           
mcdonalds,MC DONALDS PAD           
mcdonalds,MCDONALDS CSQ            
mcdonalds,MCDONALDS BELEM          
mcdonalds,MC DONALDS  PMA          
mcdonalds,MC DONALDS MCZ           
mcdonalds,MC DONALDS JSM           
mcdonalds,MC DONALDS  MOV          
mcdonalds,MC DONALDS  DDM          
mcdonalds,MC DONALDS  RID          
mcdonalds,MC DONALDS LIB           
mcdonalds,MC DONALDS PAF           
mcdonalds,MCDONALDS MFL            
mcdonalds,MCDONALDS QUEEN ST       
mcdonalds,MC DONALDS JSO           
mcdonalds,MC DONALDS  CPC          
mcdonalds,MC DONALDS V CARVALHO    
mcdonalds,MCDONALDS ELIZABTH ST    
mcdonalds,MC DONALDS  HIP          
mcdonalds,MC DONALDS  LAT          
mcdonalds,MC DONALDS  SJO          
mcdonalds,MC DONALDS BVL           
mcdonalds,MC DONALDS LOJA 314      
mcdonalds,MCDONALDS 0549           
mcdonalds,MC DONALDS  RVE          
mcdonalds,MC DONALDS DRO           
mcdonalds,MC DONALDS  SJP          
mcdonalds,MC DONALDS  AGG          
mcdonalds,MCDONALDS 01723          
mcdonalds,MC DONALDS PAK           
mcdonalds,MC DONALDS DRP           
mcdonalds,MC DONALDS AUG           
mcdonalds,MC DONALDS FNS           
mcdonalds,MC DONALDS  WOS          
mcdonalds,MC DONALDS MDB           
mcdonalds,MC DONALDS -SF5      3658
mcdonalds,MCDONALDS SGU            
mcdonalds,MC DONALDS KNO           
mcdonalds,MC DONALDS MJQ           
mcdonalds,MC DONALDS  SDE          
mcdonalds,MC DONALDS MJR           
mcdonalds,MC DONALDS  VAP          
mcdonalds,MC DONALDS PTY           
mcdonalds,MC DONALDS-SIA           
mcdonalds,MC DONALDS-SH.ITAQUERA   
mcdonalds,MC DONALDS  MIR          
mcdonalds,MC DONALDS GCB           
mcdonalds,MC DONALDS DRT           
mcdonalds,MC DONALDS BCG           
mcdonalds,MC DONALDS OSS           
mcdonalds,MC DONALDS BPE           
mcdonalds,MC DONALDS  BBG          
mcdonalds,MC DONALDS BVS           
mcdonalds,MC DONALDS IRP           
mcdonalds,MC DONALDS   SGS         
mcdonalds,MC DONALDS  BOD          
mcdonalds,MCDONALDS BRU            
mcdonalds,MC DONALDS  TRN          
mcdonalds,MC DONALDS  MIT          
mcdonalds,MC DONALDS ABA           
mcdonalds,MC DONALDS GPA           
mcdonalds,MC DONALDS TSO           
mcdonalds,MC DONALDS  VAS          
mcdonalds,MC DONALDS  RIO          
mcdonalds,MCDONALDS RESTAURANTS    
mcdonalds,MERCPAG*MCDONALDSUB2     
mcdonalds,MC DONALDS PAR           
mcdonalds,MCDONALDS RSP            
mcdonalds,MC DONALDS DLI           
mcdonalds,MC DONALDS  TER          
mcdonalds,MC DONALDS LIN           
mcdonalds,MC DONALDS PNO           
mcdonalds,MCDONALDS 549   2402812  
mcdonalds,MCDONALDS TOR            
mcdonalds,MC DONALDS  CPO          
mcdonalds,MC DONALDS  AAB          
mcdonalds,MCDONALDS LEIRIA SHO     
mcdonalds,MC DONALDS VOT           
mcdonalds,MC DONALDS  RCD          
mcdonalds,MC DONALDS ABD           
mcdonalds,MC DONALDS  PMP          
mcdonalds,MC DONALDS PAT           
mcdonalds,AID MC DONALDS           
mcdonalds,MC DONALDS -AP2      2734
mcdonalds,MC DONALDS  AAE          
mcdonalds,MC DONALDS KENEDY DRIV   
mcdonalds,MC DONALDS  RCF          
mcdonalds,MC DONALDS  AGS          
mcdonalds,MC DONALDS UB2           
mcdonalds,MC DONALDS  CPS          
mcdonalds,MC DONALDS  AGT          
mcdonalds,MC DONALDS SRM           
mcdonalds,MC DONALDS SEP           
mcdonalds,MC DONALDS LIS           
mcdonalds,MC DONALDS UB3           
mcdonalds,McDonalds 202            
mcdonalds,MC DONALDS  SDP          
mcdonalds,MC DONALDS  RCH          
mcdonalds,MC DONALDS FUN           
mcdonalds,MC DONALDS  BUZ          
mcdonalds,MC DONALDS -CTN      4094
mcdonalds,MC-DONALDS CUATRO CAMINOS
mcdonalds,MC DONALDS  WPA          
mcdonalds,MC DONALDS AUT           
mcdonalds,MC DONALDS  PTD          
mcdonalds,MC DONALDS VOTUPORANGA   
mcdonalds,MC DONALDS SES           
mcdonalds,MC DONALDS  PZS          
mcdonalds,MC DONALDS FRANCO DA R   
mcdonalds,MC DONALDS SLC           
mcdonalds,MCDONALDS SAV            
mcdonalds,EC*MCDONALDSTORA         
mcdonalds,MC DONALDS SLD           
mcdonalds,MC DONALDS  PTG          
mcdonalds,MC DONALDS MDR           
mcdonalds,MC DONALDS-CUMBICA       
mcdonalds,MC DONALDS  RCL          
mcdonalds,MCDONALDS BROADWAY       
mcdonalds,MCDONALDS 001            
mcdonalds,MCDONALDS PDM            
mcdonalds,MC DONALDS  BIC          
mcdonalds,MC DONALDS DSC           
mcdonalds,MCDONALDS MGD            
mcdonalds,MCDONALDS 002            
mcdonalds,MC DONALDS  OSA          
mcdonalds,MC DONALDS RDO           
mcdonalds,MC DONALDS  AAM          
mcdonalds,MC DONALDS GD2           
mcdonalds,MCDONALDS MMS            
mcdonalds,MCDONALDS BLU            
mcdonalds,MC DONALDS  SDW          
mcdonalds,MC DONALDS GCR           
mcdonalds,MC DONALDS LARGO DO      
mcdonalds,MC DONALDS  OSC          
mcdonalds,MC DONALDS TZM           
mcdonalds,MC DONALDS  BVD          
mcdonalds,MC DONALDS MDW           
mcdonalds,MC DONALDS RDR           
mcdonalds,MC DONALDS  BIG          
mcdonalds,MCDONALDS-DUBAI MARINA   
mcdonalds,MCDONALDS PDR            
mcdonalds,MCDONALDS RGC            
mcdonalds,MC DONALDS  EMA          
mcdonalds,MC DONALDS RDS           
mcdonalds,MC DONALDS  BVE          
mcdonalds,MC DONALDS BCZ           
mcdonalds,MCDONALDS JPM            
mcdonalds,MCDONALDS CNB            
mcdonalds,MCDONALDS CGS            
mcdonalds,MC DONALDS VPD           
mcdonalds,MC DONALDS  ANO          
mcdonalds,MC DONALDS PBD           
mcdonalds,MC DONALDS CRA           
mcdonalds,MCDONALDS ARA            
mcdonalds,McDonalds                
mcdonalds,MCDONALDS P GRACIA TNA   
mcdonalds,MC DONALDS-SH.BOURBON    
mcdonalds,MC DONALDS-TAMBORE       
mcdonalds,MC DONALDS  LON          
mcdonalds,MC DONALDS BENFICA SBF   
